feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,lipid(%),sample_group
11.1,58.0,9.93,20.81,488.0,0.104,28.9,6.55,9.0,0.82,0.088,1.6,0.195,0.216,27.3,0.305353949,0.37763,22.14,16.62071415,25.22566047,2.61,44.635,0.636,7.8,37.5305,0.715917811,0.230525512,0.319669682,0.341508551,0.0
24.3,62.0,8.22,7.39,396.0,0.074,7.56,4.24,2.0,0.2,0.29,0.72,0.018,0.025,9.1,0.091833195,0.16533,26.39,12.93316528,6.896085553,1.325,32.415,0.4065,9.655,40.17,0.42,0.265298955,0.812205177,13.54468891,0.0
17.8,45.0,8.85,12.09,170.0,0.083,9.89,4.16,1.5,1.12,0.056,1.64,0.006,0.01,16.35,0.233617164,1.03161,32.14,18.70262699,13.04592685,3.23,46.015,0.636,7.8305,38.957,0.264165454,0.915768028,0.39460397,2.427192887,0.0
29.8,91.0,8.91,12.71,433.0,0.078,23.1,5.27,9.5,0.34,0.067,0.83,0.0034,0.011,7.125,0.151840229,0.28175,8.59,14.60416652,10.84689534,2.14,41.64,0.537,6.7635,36.0065,0.237880334,0.987557687,0.21363108,3.569049226,0.0
8.35,54.5,9.6,11.34,151.0,0.116,27.9,7.15,17.0,3.33,0.11,3.72,0.013,0.02,12.5,0.178623692,0.51496,24.1,19.11999683,9.299525647,4.245,47.73,0.8445,7.563,41.7935,0.442024847,0.694726565,0.457324437,4.208456553,0.0
19.9,52.5,9.07,8.02,207.0,0.059,39.4,10.61,9.5,0.22,0.24,0.97,0.006,0.01,6.465,0.14126473,0.13926,6.24,17.15088638,13.32659314,2.48,46.02,0.618,4.976,37.863,0.481760374,0.269515797,0.352419737,11.50799233,0.0
5.1,41.5,8.31,7.48,508.0,0.074,19.6,4.72,12.0,0.68,0.056,1.43,0.003,0.013,11.645,0.203863542,0.57801,24.55,16.97741161,11.01324306,2.81,48.005,0.612,7.26,39.7225,0.322269616,0.655195173,0.5660709,13.12245895,0.0
27.4,77.5,8.17,7.56,427.0,0.08,27.8,5.31,15.5,0.9,0.76,2.38,0.008,0.024,13.75,0.238207472,0.73798,36.68,17.23625689,5.652056277,2.83,38.67,0.583,9.503,40.422,0.144016372,0.454081565,0.792574894,14.88848108,0.0
13.07,62.0,9.25,17.12,567.0,0.138,61.7,7.09,13.5,2.78,0.54,3.87,0.077,0.091,21.27778,0.262768986,0.73073,67.37,3.919407108,6.923528606,4.295,48.81,0.6905,8.0,33.384,0.166905207,0.6020498,0.388626887,0.232392516,0.0
20.7,43.5,8.13,9.15,329.0,0.08,17.9,3.28,1.0,4.27,0.08,4.56,0.026,0.038,15.28889,0.212188375,0.3374,50.16,4.878658994,6.071619504,4.315,49.465,0.5405,6.8205,33.013,0.156237169,0.574774075,0.805160899,1.33174205,0.0
